---- ---- ---- ---- ROOT NO <mainFunction>
---- ---- ---- ---- <declarationStmt> NO <type>
int   5   INT   int   <type> YES INT
---- ---- ---- ---- <declarationStmt> NO <var_list>
result   5   ID   result   <var_list> YES ID
---- ---- ---- ---- <var_list> NO <more_ids>
---- ---- ---- ---- <more_ids> NO e
;   5   SEMICOLON   ;   <declarationStmt> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
a   6   ID   a   <leftHandSide_singleVar> YES ID
=   6   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
10   6   NUM  10   <var> YES NUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   6   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
b   7   ID   b   <leftHandSide_singleVar> YES ID
=   7   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
20   7   NUM  20   <var> YES NUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   7   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
c   8   ID   c   <leftHandSide_singleVar> YES ID
=   8   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
30   8   NUM  30   <var> YES NUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   8   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
p   9   ID   p   <leftHandSide_singleVar> YES ID
=   9   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
1.18   9   RNUM   1.18   <var> YES RNUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   9   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
q   10   ID   q   <leftHandSide_singleVar> YES ID
=   10   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
3.38   10   RNUM   3.38   <var> YES RNUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   10   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
r   11   ID   r   <leftHandSide_singleVar> YES ID
=   11   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
1.08   11   RNUM   1.08   <var> YES RNUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   11   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <ifStmt>
if   12   IF   if   <ifStmt> YES IF
(   12   OP   (   <ifStmt> YES OP
---- ---- ---- ---- <ifStmt> NO <booleanExpression>
(   12   OP   (   <booleanExpression> YES OP
---- ---- ---- ---- <booleanExpression> NO <booleanExpression>
---- ---- ---- ---- <booleanExpression> NO <constrainedVars>
a   12   ID   a   <constrainedVars> YES ID
---- ---- ---- ---- <booleanExpression> NO <relationalOp>
<   12   LT   <   <relationalOp> YES LT
---- ---- ---- ---- <booleanExpression> NO <constrainedVars>
15   12   NUM  15   <constrainedVars> YES NUM
)   12   CL   )   <booleanExpression> YES CL
---- ---- ---- ---- <booleanExpression> NO <logicalOp>
.and.   12   AND   .and.   <logicalOp> YES AND
(   12   OP   (   <booleanExpression> YES OP
---- ---- ---- ---- <booleanExpression> NO <booleanExpression>
---- ---- ---- ---- <booleanExpression> NO <constrainedVars>
p   12   ID   p   <constrainedVars> YES ID
---- ---- ---- ---- <booleanExpression> NO <relationalOp>
<=   12   LE   <=   <relationalOp> YES LE
---- ---- ---- ---- <booleanExpression> NO <constrainedVars>
q   12   ID   q   <constrainedVars> YES ID
)   12   CL   )   <booleanExpression> YES CL
)   12   CL   )   <ifStmt> YES CL
---- ---- ---- ---- <ifStmt> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
result   13   ID   result   <leftHandSide_singleVar> YES ID
=   13   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
(   13   OP   (   <factor> YES OP
---- ---- ---- ---- <factor> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
a   13   ID   a   <var> YES ID
---- ---- ---- ---- <var> NO <matrixElement>
---- ---- ---- ---- <matrixElement> NO e
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO <operator_lowPrecedence>
+   13   PLUS   +   <operator_lowPrecedence> YES PLUS
---- ---- ---- ---- <arithmeticRest> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
b   13   ID   b   <var> YES ID
---- ---- ---- ---- <var> NO <matrixElement>
---- ---- ---- ---- <matrixElement> NO e
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticRest> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
)   13   CL   )   <factor> YES CL
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO <operator_lowPrecedence>
-   13   MINUS   -   <operator_lowPrecedence> YES MINUS
---- ---- ---- ---- <arithmeticRest> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
(   13   OP   (   <factor> YES OP
---- ---- ---- ---- <factor> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
10   13   NUM  10   <var> YES NUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO <operator_lowPrecedence>
+   13   PLUS   +   <operator_lowPrecedence> YES PLUS
---- ---- ---- ---- <arithmeticRest> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
c   13   ID   c   <var> YES ID
---- ---- ---- ---- <var> NO <matrixElement>
---- ---- ---- ---- <matrixElement> NO e
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticRest> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO <operator_lowPrecedence>
-   13   MINUS   -   <operator_lowPrecedence> YES MINUS
---- ---- ---- ---- <arithmeticRest> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
8   13   NUM  8   <var> YES NUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticRest> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO <operator_lowPrecedence>
+   13   PLUS   +   <operator_lowPrecedence> YES PLUS
---- ---- ---- ---- <arithmeticRest> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
2   13   NUM  2   <var> YES NUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticRest> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO <operator_lowPrecedence>
-   13   MINUS   -   <operator_lowPrecedence> YES MINUS
---- ---- ---- ---- <arithmeticRest> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
a   13   ID   a   <var> YES ID
---- ---- ---- ---- <var> NO <matrixElement>
---- ---- ---- ---- <matrixElement> NO e
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticRest> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
)   13   CL   )   <factor> YES CL
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticRest> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   13   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <ifStmt> NO <otherStmts>
---- ---- ---- ---- <otherStmts> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
d   14   ID   d   <leftHandSide_singleVar> YES ID
=   14   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
result   14   ID   result   <var> YES ID
---- ---- ---- ---- <var> NO <matrixElement>
---- ---- ---- ---- <matrixElement> NO e
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO <operator_lowPrecedence>
+   14   PLUS   +   <operator_lowPrecedence> YES PLUS
---- ---- ---- ---- <arithmeticRest> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
a   14   ID   a   <var> YES ID
---- ---- ---- ---- <var> NO <matrixElement>
---- ---- ---- ---- <matrixElement> NO e
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO <operator_highPrecedence>
*   14   MUL   *   <operator_highPrecedence> YES MUL
---- ---- ---- ---- <arithmeticTermRest> NO <factor>
---- ---- ---- ---- <factor> NO <var>
2   14   NUM  2   <var> YES NUM
---- ---- ---- ---- <arithmeticTermRest> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticRest> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   14   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <otherStmts> NO <otherStmts>
---- ---- ---- ---- <otherStmts> NO e
---- ---- ---- ---- <ifStmt> NO <remainingElse>
else   15   ELSE   else   <remainingElse> YES ELSE
---- ---- ---- ---- <remainingElse> NO <stmt>
---- ---- ---- ---- <stmt> NO <assignmentStmt_type1>
---- ---- ---- ---- <assignmentStmt_type1> NO <leftHandSide_singleVar>
d   16   ID   d   <leftHandSide_singleVar> YES ID
=   16   ASSIGNOP   =   <assignmentStmt_type1> YES ASSIGNOP
---- ---- ---- ---- <assignmentStmt_type1> NO <rightHandSide_type1>
---- ---- ---- ---- <rightHandSide_type1> NO <arithmeticExpression>
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticTerm>
---- ---- ---- ---- <arithmeticTerm> NO <factor>
---- ---- ---- ---- <factor> NO <var>
0   16   NUM  0   <var> YES NUM
---- ---- ---- ---- <arithmeticTerm> NO <arithmeticTermRest>
---- ---- ---- ---- <arithmeticTermRest> NO e
---- ---- ---- ---- <arithmeticExpression> NO <arithmeticRest>
---- ---- ---- ---- <arithmeticRest> NO e
;   16   SEMICOLON   ;   <assignmentStmt_type1> YES SEMICOLON
---- ---- ---- ---- <remainingElse> NO <otherStmts>
---- ---- ---- ---- <otherStmts> NO e
endif   17   ENDIF   endif   <remainingElse> YES ENDIF
;   17   SEMICOLON   ;   <remainingElse> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <ioStmt>
print   18   PRINT   print   <ioStmt> YES PRINT
(   18   OP   (   <ioStmt> YES OP
d   18   ID   d   <ioStmt> YES ID
)   18   CL   )   <ioStmt> YES CL
;   18   SEMICOLON   ;   <ioStmt> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO e
end   19   END   end   <mainFunction> YES END
;   19   SEMICOLON   ;   <mainFunction> YES SEMICOLON
